IMIĘ_DRUGIE,PŁEĆ,LICZBA_WYSTĄPIEŃ
KRYSPINA,KOBIETA,180
JULIANA,KOBIETA,180
LIVIA,KOBIETA,180
PAOLA,KOBIETA,179
URSULA,KOBIETA,178
HILDA,KOBIETA,176
INKA,KOBIETA,176
IRMGARD,KOBIETA,176
JASMIN,KOBIETA,175
SYLVIA,KOBIETA,174
LUCJANNA,KOBIETA,173
LAURENCJA,KOBIETA,172
JANA,KOBIETA,172
LUNA,KOBIETA,171
FELICYTA,KOBIETA,170
PIA,KOBIETA,169
DORIS,KOBIETA,169
VALENTINA,KOBIETA,167
THERESA,KOBIETA,167
EDITH,KOBIETA,166
JASMINA,KOBIETA,164
ELISA,KOBIETA,164
HANNAH,KOBIETA,164
ANIDA,KOBIETA,163
HELENE,KOBIETA,162
KATE,KOBIETA,162
MELISA,KOBIETA,162
JACQUELINE,KOBIETA,162
PRZEMYSŁAWA,KOBIETA,161
DĄBRÓWKA,KOBIETA,161
CLARA,KOBIETA,159
AIDA,KOBIETA,158
DENISE,KOBIETA,158
LUDOMIŁA,KOBIETA,157
GERARDA,KOBIETA,157
ESTHER,KOBIETA,157
ANGELICA,KOBIETA,156
WERA,KOBIETA,156
MAY,KOBIETA,155
ANH,KOBIETA,154
ARIANA,KOBIETA,154
IWONKA,KOBIETA,154
ZYGFRYDA,KOBIETA,153
CECILIA,KOBIETA,153
MARGARETE,KOBIETA,152
LETYCJA,KOBIETA,151
FRANCES,KOBIETA,149
KAREN,KOBIETA,149
HILDEGARD,KOBIETA,149
HERONIMA,KOBIETA,149
KARMEN,KOBIETA,148
KRYSTIANA,KOBIETA,148
ASTRID,KOBIETA,148
LUCJANA,KOBIETA,147
SELENA,KOBIETA,147
MILA,KOBIETA,146
BEATRYCZE,KOBIETA,146
DORA,KOBIETA,145
SYLWINA,KOBIETA,145
MARIETA,KOBIETA,145
FLORA,KOBIETA,144
FRIDA,KOBIETA,144
ROXANA,KOBIETA,144
JEAN,KOBIETA,144
MALGORZATA,KOBIETA,142
BIANCA,KOBIETA,140
SOFIE,KOBIETA,140
THERESE,KOBIETA,139
ORIANA,KOBIETA,138
ILZA,KOBIETA,138
JUDITH,KOBIETA,137
ARKADIA,KOBIETA,137
FLORIANNA,KOBIETA,136
ANNA MARIA,KOBIETA,133
ESTER,KOBIETA,133
LUCY,KOBIETA,133
HANA,KOBIETA,133
AFRODYTA,KOBIETA,132
LILLY,KOBIETA,132
NIKOLETTA,KOBIETA,131
LEOPOLDYNA,KOBIETA,130
GERTRUD,KOBIETA,130
JESICA,KOBIETA,129
SAMANTHA,KOBIETA,129
ROZWITA,KOBIETA,129
ANDŻELINA,KOBIETA,129
ŚWIĘTOSŁAWA,KOBIETA,128
NATHALIE,KOBIETA,128
NELLY,KOBIETA,128
ANDRZELIKA,KOBIETA,127
MAE,KOBIETA,127
MARIA MAGDALENA,KOBIETA,126
TOLA,KOBIETA,126
KLEOPATRA,KOBIETA,126
JESIKA,KOBIETA,125
LUBA,KOBIETA,124
DAMIANA,KOBIETA,123
INGRIDA,KOBIETA,122
LILI,KOBIETA,122
FABIOLA,KOBIETA,121
BELLA,KOBIETA,121
